书名,授权级别,作品类别,本周点击,本月点击,本周更新,本月更新,周推荐票,月推荐票,人次,字数,更新天数
龙神殿,驻站作品,都市激战,8,8,4059,4059,0,0,8,4059,1
冥皇千臣之辰星集,驻站作品,东方玄幻,10,10,11607,11607,0,0,10,11607,3
造化仙路,驻站作品,洪荒封神,8,53,8287,67343,0,0,53,67343,21
双心地球,签约作品,异界大陆,6,55,4111,46971,14,64,1747,366376,18
游移混沌,签约作品,异界大陆,4,25,9277,31212,44,86,9303,854271,9
成首富从摆地摊开始,签约作品,都市生活,75,1478,11736,89808,165,739,11657,188552,52
从蛇开始的传奇,专属作品,异界大陆,18,28,5450,7781,0,0,28,7781,1
重生之红尘炼情,驻站作品,都市重生,4,15,9046,72695,0,0,37,69622,1
绝世军神,签约作品,东方玄幻,11,92,3917,50118,7,22,109,59702,17
我的末世桃源,签约作品,末世危机,29,80,6524,66668,0,0,80,68656,8
战婿当道,签约作品,都市生活,5672,5980,30452,210936,41,41,6225,389925,63
漫画家的不正常的日常,驻站作品,宅系小说,3,3,8315,8315,0,0,3,8315,1
后西游传奇之元婴大王,驻站作品,东方玄幻,14,14,10859,10859,12,12,14,10900,3
寻相记,授权作品,传统武侠,4,35,627,17193,0,0,35,18040,1
命运逆转器,签约作品,异术超能,12,193,10424,99591,28,113,344,181636,46
灵尊世界,驻站作品,都市生活,11,11,2284,2284,0,0,11,2284,3
诸天无限之卡牌系统,签约作品,都市异能,133,946,24552,218718,189,275,1338,419234,57
魔储,驻站作品,东方玄幻,13,79,20833,76054,0,0,79,84353,9
无妄尘缘,签约作品,奇幻修真,24,241,9190,79304,39,209,26305,697394,209
